CustomerID,CustomerName,Email,Phone,Address
c8bfd010-f025-4b3b-a68f-956110f4eebd,Michael Cook,htaylor@example.net,(244)266-6797x81399,"913 Clark Mission Suite 476
West Katherine, MP 54962"
e8f674db-2e4b-4d00-ad39-232cb41581c7,Angela Yang,thomas08@example.com,(515)745-4193x72632,"3443 Richard Skyway Apt. 704
East Joelborough, NV 43673"
3de0df9c-6a64-4338-8c7c-e1af6e679e49,Madison Gill,whitechristopher@example.org,(734)222-4216,"82020 Blackburn Corners
North Colleen, KY 87707"
162418c1-ad66-4da4-b8c9-2b049c448386,Alex Trujillo,matthew50@example.net,+1-929-444-6103x82899,"PSC 0901, Box 5610
APO AA 72010"
d1924da4-77e2-4bb0-a76f-d85eb2641e37,Michael Ortiz,hugheslinda@example.org,(531)306-2259x0748,"91570 Marshall Track
Lake Jennifer, SC 37043"
92d6d3c5-a3ca-4e17-818d-811c3389873d,Terry Flores,lewissamuel@example.org,808.580.6063x9324,"956 Murray Coves
South Ryanmouth, DE 52304"
68473d10-907c-45e7-801a-355e02eb530b,Hannah Reeves,mhall@example.com,+1-659-484-4243,"52754 Nelson Unions Suite 150
Robinsonborough, WI 29179"
844102b2-9507-40c3-b431-29510355e9fc,Hannah Montes,fbowers@example.net,001-853-752-8712,"80299 Long Burg
Thomaschester, ND 89514"
c3e08928-df25-40e6-9c63-92aa82668068,Alyssa Martinez,ruthharrell@example.com,909.949.7263,"USNV Greer
FPO AP 87700"
1ddaf936-bb87-4b35-9e9c-9fcd1a853c56,James Simmons,stephenscorey@example.net,7955629609,"5332 Jones Union Suite 721
East Christopherchester, FL 04518"
6d17758b-2575-4c9d-8fc0-969698c7a42d,Erica White,bryanturner@example.org,(312)531-6509x43605,"80066 Megan Corners
East Loganport, NM 14977"
5a7f4c55-eaa0-4ac7-a745-60fe1a5dfb92,Anthony Peterson,roger55@example.com,2714361900,"42022 Robert Lakes Suite 613
Smithmouth, MT 80665"
ce6fd6d1-95f4-488e-b5ad-6c8dd48ad3d5,Cassidy Wilson,emily62@example.net,(925)945-6468x7499,"PSC 9185, Box 7291
APO AE 68664"
15dbafef-ed6f-421c-b167-e4a92b0093fa,Bernard Williams,mfloyd@example.net,587-720-3836,"19909 Melissa Burg Suite 339
Lake Lisa, MO 23431"
cd53499c-3ecb-4a05-ba35-ef33b525bfe2,Sandra Walls,curtissteele@example.org,5338940264,"USCGC Bell
FPO AP 38174"
6f19e16d-35be-43f8-a7da-47093baf6f1a,Sarah Hardy,lauren04@example.com,591.935.4011,"6279 Tammy Route
Jonesfurt, IL 40073"
c95d0f69-7b72-4ad7-852a-790426f25d13,Tristan Gordon,cynthia46@example.org,+1-659-675-6051x533,"036 Lawrence Villages
Amychester, HI 73483"
cba1c865-1568-48e4-8c7b-40091c7b76a0,Elaine Fisher,taylormatthew@example.org,403-657-2658x7857,"93792 Lauren Skyway
Myersside, ID 80539"
4ccb639e-274b-4d40-bcab-acef5a3a3156,Aaron Allen,jonathanwilliamson@example.net,+1-294-350-7225x730,"315 Courtney Garden Apt. 428
Amyland, ME 52725"
302735b9-71c5-429f-a910-e9533f4eed3b,Michael Gray,jamesbautista@example.org,853-540-6832,"357 Emily Mews
New Katelynmouth, MH 42488"
18696653-a713-4318-ac73-fb71393f6f79,Aaron Martinez,william92@example.net,(704)492-6427x7921,"8545 Norman Point
Cruzborough, OK 99131"
f622442e-d1d7-4678-80c3-c5e165ff5f80,Sharon Moody,chernandez@example.org,995-955-6347x857,"757 Zamora Pike Apt. 958
West Edwardburgh, TN 54599"
